No,명칭,원문,주소,정규화주소,위도(lat),경도(lng),매칭주소,도로명주소,지번주소,네이버지도검색URL,상태,비고,중복여부
40,,충남 공주시 계룡면 기산리 125-4,충남 공주시 계룡면 기산리 125-4,충청남도 공주시 계룡면 기산리 125-4,36.4039671297204,127.14579388505,충남 공주시 계룡면 기산리 125-4,,충남 공주시 계룡면 기산리 125-4,https://map.naver.com/p/search/%EC%B6%A9%EC%B2%AD%EB%82%A8%EB%8F%84%20%EA%B3%B5%EC%A3%BC%EC%8B%9C%20%EA%B3%84%EB%A3%A1%EB%A9%B4%20%EA%B8%B0%EC%82%B0%EB%A6%AC%20125-4,성공,,
41,,전남 무안군 삼향읍 유교리 1085-8,전남 무안군 삼향읍 유교리 1085-8,전라남도 무안군 삼향읍 유교리 1085-8,34.8484219535866,126.426585645458,전남 무안군 삼향읍 유교리 1085-8,전남 무안군 삼향읍 영산로 964,전남 무안군 삼향읍 유교리 1085-8,https://map.naver.com/p/search/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%AC%B4%EC%95%88%EA%B5%B0%20%EC%82%BC%ED%96%A5%EC%9D%8D%20%EC%9C%A0%EA%B5%90%EB%A6%AC%201085-8,성공,,
42,,세종 금남면 발산리 149-4,세종 금남면 발산리 149-4,세종특별자치시 금남면 발산리 149-4,36.4488489554204,127.285428118044,세종특별자치시 금남면 발산리 149-4,,세종특별자치시 금남면 발산리 149-4,https://map.naver.com/p/search/%EC%84%B8%EC%A2%85%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EC%8B%9C%20%EA%B8%88%EB%82%A8%EB%A9%B4%20%EB%B0%9C%EC%82%B0%EB%A6%AC%20149-4,성공,,
43,,경북 포항시 남구 연일읍 우복리 75,경북 포항시 남구 연일읍 우복리 75,경상북도 포항시 남구 연일읍 우복리 75,35.9682867544748,129.348326514407,경북 포항시 남구 연일읍 우복리 75,,경북 포항시 남구 연일읍 우복리 75,https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%ED%8F%AC%ED%95%AD%EC%8B%9C%20%EB%82%A8%EA%B5%AC%20%EC%97%B0%EC%9D%BC%EC%9D%8D%20%EC%9A%B0%EB%B3%B5%EB%A6%AC%2075,성공,,
44,,경북 포항시 북구 송라면 화진리 511-3,경북 포항시 북구 송라면 화진리 511-3,경상북도 포항시 북구 송라면 화진리 511-3,36.247354673638,129.370398399542,경북 포항시 북구 송라면 화진리 511-3,경북 포항시 북구 송라면 동해대로 3188,경북 포항시 북구 송라면 화진리 511-3,https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%ED%8F%AC%ED%95%AD%EC%8B%9C%20%EB%B6%81%EA%B5%AC%20%EC%86%A1%EB%9D%BC%EB%A9%B4%20%ED%99%94%EC%A7%84%EB%A6%AC%20511-3,성공,,중복
45,,제주 서귀포시 안덕면 상창리 1872,제주 서귀포시 안덕면 상창리 1872,제주특별자치도 서귀포시 안덕면 상창리 1872,33.2803092487443,126.356601744952,제주특별자치도 서귀포시 안덕면 상창리 1872,,제주특별자치도 서귀포시 안덕면 상창리 1872,https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%95%88%EB%8D%95%EB%A9%B4%20%EC%83%81%EC%B0%BD%EB%A6%AC%201872,성공,,
46,,충남 공주시 계룡면 기산리 1062,충남 공주시 계룡면 기산리 1062,충청남도 공주시 계룡면 기산리 1062,36.4036820631876,127.145371511399,충남 공주시 계룡면 기산리 1062,,충남 공주시 계룡면 기산리 1062,https://map.naver.com/p/search/%EC%B6%A9%EC%B2%AD%EB%82%A8%EB%8F%84%20%EA%B3%B5%EC%A3%BC%EC%8B%9C%20%EA%B3%84%EB%A3%A1%EB%A9%B4%20%EA%B8%B0%EC%82%B0%EB%A6%AC%201062,성공,,
47,,경북 경주시 강동면 호명리 409-3,경북 경주시 강동면 호명리 409-3,경상북도 경주시 강동면 호명리 409-3,35.9776379844386,129.248437941849,경북 경주시 강동면 호명리 409-3,경북 경주시 강동면 산업로 5613,경북 경주시 강동면 호명리 409-3,https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EA%B2%BD%EC%A3%BC%EC%8B%9C%20%EA%B0%95%EB%8F%99%EB%A9%B4%20%ED%98%B8%EB%AA%85%EB%A6%AC%20409-3,성공,,
48,,경남 합천군 청덕면 두곡리 370-1,경남 합천군 청덕면 두곡리 370-1,경상남도 합천군 청덕면 두곡리 370-1,35.5570024213859,128.318357790697,경남 합천군 청덕면 두곡리 370-1,경남 합천군 청덕면 동부로 1716,경남 합천군 청덕면 두곡리 370-1,https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%82%A8%EB%8F%84%20%ED%95%A9%EC%B2%9C%EA%B5%B0%20%EC%B2%AD%EB%8D%95%EB%A9%B4%20%EB%91%90%EA%B3%A1%EB%A6%AC%20370-1,성공,,
49,,충남 부여군 세도면 청포리 469-1,충남 부여군 세도면 청포리 469-1,충청남도 부여군 세도면 청포리 469-1,36.1644271560044,126.96935687921,충남 부여군 세도면 청포리 469-1,충남 부여군 세도면 부흥로 830,충남 부여군 세도면 청포리 469-1,https://map.naver.com/p/search/%EC%B6%A9%EC%B2%AD%EB%82%A8%EB%8F%84%20%EB%B6%80%EC%97%AC%EA%B5%B0%20%EC%84%B8%EB%8F%84%EB%A9%B4%20%EC%B2%AD%ED%8F%AC%EB%A6%AC%20469-1,성공,,
